COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Lipkovo";Municipality;"LI";20142
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Lipkovo";municipality;"48";48948
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Lozovo";Municipality;"LO";20143
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Lozovo";municipality;"49";48949
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Makedonska Kamenica";municipality;"51";48950
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Makedonska Kamenica";Municipality;"MK";20144
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Makedonski Brod";municipality;"52";48951
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Makedonski Brod";Municipality;"MD";20145
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Mavrovo i Rostuša";municipality;"50";48952
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Mavrovo-i-Rostuša";Municipality;"MR";20146
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Mogila";Municipality;"MG";20147
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Mogila";municipality;"53";48953
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Negotino";municipality;"54";48954
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Negotino";Municipality;"NG";15237
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Novaci";Municipality;"NV";20148
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Novaci";municipality;"55";48955
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Novo Selo";Municipality;"NS";20149
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Novo Selo";municipality;"56";48956
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Ohrid";municipality;"58";48957
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Ohrid";Municipality;"OD";15238
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Oslomej";Municipality;"OS";20150
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Oslomej";municipality;"57";48958
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Pehcevo";Municipality;"PH";20151
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Pehčevo";municipality;"60";48959
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Petrovec";municipality;"59";48960
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Petrovec";Municipality;"PE";20152
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Plasnica";municipality;"61";48961
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Plasnica";Municipality;"PN";20153
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Prilep";Municipality;"PP";15248
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Prilep";municipality;"62";48962
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Probištip";Municipality;"PT";15239
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Probištip";municipality;"63";48963
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Radoviš";Municipality;"RV";15247
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Radoviš";municipality;"64";48964
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Rankovce";Municipality;"RN";20154
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Rankovce";municipality;"65";48965
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Resen";municipality;"66";48966
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Resen";Municipality;"RE";15240
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Rosoman";municipality;"67";48967
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Rosoman";Municipality;"RM";20155
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Saraj";municipality;"68";48968
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Saraj *";Municipality;"AJ";20156
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Skopje";;"X1~";15246
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Sopište";municipality;"70";48969
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Sopište";Municipality;"SS";20157
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Staro Nagoricane";Municipality;"NA";20158
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Staro Nagoričane";municipality;"71";48970
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Struga";Municipality;"UG";15242
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Struga";municipality;"72";48971
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Strumica";municipality;"73";48972
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Strumica";Municipality;"RU";15251
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Studenicani";Municipality;"SU";20159
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Studeničani";municipality;"74";48973
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Sveti Nikole";Municipality;"SL";15243
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Sveti Nikole";municipality;"69";48974
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Tearce";municipality;"75";48977
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Tearce";Municipality;"TR";20160
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Tetovo";Municipality;"ET";15252
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Tetovo";municipality;"76";48978
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Valandovo";municipality;"10";48979
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Valandovo";Municipality;"VA";15244
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vasilevo";municipality;"11";48980
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vasilevo";Municipality;"VL";20161
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Veles";Municipality;"VE";15223
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Veles";municipality;"13";48981
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vevcani";Municipality;"VV";20162
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vevčani";municipality;"12";48982
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vinica";municipality;"14";48983
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vinica";Municipality;"NI";15245
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vraneštica";municipality;"15";48984
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vraneštica";Municipality;"VC";20163
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vrapcište";Municipality;"VH";20164
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Vrapčište";municipality;"16";48985
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zajas";municipality;"31";48986
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zajas";Municipality;"ZA";20165
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zelenikovo";municipality;"32";48987
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zelenikovo";Municipality;"ZK";20166
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zrnovci";municipality;"33";48988
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Zrnovci";Municipality;"ZR";20167
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Čair";municipality;"79";48917
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Čaška";municipality;"80";48918
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Češinovo-Obleševo";municipality;"81";48919
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Čučer Sandevo";municipality;"82";48920
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Štip";municipality;"83";48975
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Štip";Municipality;"ST";15241
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Šuto Orizari";municipality;"84";48976
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Šuto Orizari *";Municipality;"SO";20169
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Želino";municipality;"30";48989
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Želino";Municipality;"ZE";20170
